Year_name,Year_Year_Player_name,Year_Year_Player_College,Year_Year_Player_Tm,Year_Year_Player_Yrs,Year_Year_Player_G,Year_Year_Player_MP,Year_Year_Player_PTS,Year_Year_Player_TRB,Year_Year_Player_AST,Year_Year_Player_FG,Year_Year_Player_Three_point,Year_Year_Player_FT_per,Year_Year_Player_MP_per_game,Year_Year_Player_PTS_per_game,Year_Year_Player_TRB_per_game,Year_Year_Player_AST_per_game,Year_Year_Player_WS_per_game,Year_Year_Player_WS_div48,Year_Year_Player_BPM,Year_Year_Player_VORP
1947,Clifton McNeeley,Texas-El Paso,PIT,,,,,,,,,,,,,,,,,
1947,Glen Selbo,Wisconsin,TRH,1,13,,42,,23,0.196,,0.759,,3.2,,1.8,-0.2,,,
1947,Bulbs Ehlers,Purdue,BOS,2,99,,800,,177,0.286,,0.618,,8.1,,1.8,3,,,
1947,Walt Dropo,UConn,PRO,,,,,,,,,,,,,,,,,
1947,Dick Holub,Long Island University,NYK,1,48,,504,,37,0.295,,0.633,,10.5,,0.8,4.2,,,
1947,Chink Crossin,Penn,PHW,3,147,,694,,223,0.318,,0.711,,4.7,,1.5,3.7,,,
1947,Jack Underman,Ohio State,STB,,,,,,,,,,,,,,,,,
1947,Paul Huston,Ohio State,CHS,1,46,,164,,27,0.237,,0.697,,3.6,,0.6,1.2,,,
1947,Dick O'Keefe,Santa Clara,WSC,4,172,,888,37,160,0.272,,0.64,,5.2,2.2,0.9,1.7,,,
1947,Larry Killick,University of Vermont,BLB,,,,,,,,,,,,,,,,,
1947,Robert Bolyard,Toledo,BLB,,,,,,,,,,,,,,,,,
1947,Elmer Gainer,DePaul,BLB,2,20,,29,,10,0.227,,0.643,,1.5,,0.5,-0.3,,,
1947,Harry Gallatin,Truman State University,BLB,10,682,15813,8843,6684,1208,0.398,,0.773,31.9,13,11.9,1.8,78.4,0.182,,
1947,Scotty Hamilton,West Virginia,BLB,,,,,,,,,,,,,,,,,
1947,Hugh Hampton,High Point University,BLB,,,,,,,,,,,,,,,,,
1947,Bob Jake,University of Vermont,BLB,,,,,,,,,,,,,,,,,
1947,Charles Raynor,Houston,BLB,,,,,,,,,,,,,,,,,
1947,Chick Reiser,NYU,BLB,3,171,,1773,,346,0.321,,0.772,,10.4,,2,13.2,,,
1947,John Rusinko,Penn State,BLB,,,,,,,,,,,,,,,,,
1947,Bob Alemeida,,BOS,,,,,,,,,,,,,,,,,
1947,Hank Biasatti,Long Island University,BOS,1,6,,6,,0,0.4,,0.5,,1,,0,0.1,,,
1947,Johnny Ezersky,Rhode Island,BOS,3,135,,1031,,169,0.288,,0.669,,7.6,,1.3,1.5,,,
1947,George Felt,Northwestern,BOS,,,,,,,,,,,,,,,,,
1947,Jack Hewson,Temple,BOS,1,24,,65,,1,0.247,,0.7,,2.7,,0,0.1,,,
1947,John Kelly,Notre Dame,BOS,,,,,,,,,,,,,,,,,
1947,George Petrovick,,BOS,,,,,,,,,,,,,,,,,
1947,Gene Stump,DePaul,BOS,3,148,,783,,118,0.303,,0.692,,5.3,,0.8,1.1,,,
1947,Ralph Bishop,Washington,CHS,,,,,,,,,,,,,,,,,
1947,Jimmy Darden,Denver,CHS,1,26,,211,,67,0.321,,0.688,,8.1,,2.6,-0.2,,,
1947,Hank Decker,West Texas A&M University,CHS,,,,,,,,,,,,,,,,,
1947,Andy Phillip,Illinois,CHS,11,701,15378,6384,2395,3759,0.368,,0.695,32.2,9.1,4.4,5.4,53.3,0.077,,
1947,Jim Pollard,Stanford,CHS,7,438,9391,5762,2487,1417,0.36,,0.75,35.4,13.2,7.8,3.2,34.9,0.093,,
1947,Ben Schadler,Northwestern,CHS,1,37,,56,,6,0.198,,0.769,,1.5,,0.2,-0.5,,,
1947,Don Smith,Minnesota,CHS,1,8,,6,,2,0.154,,0.667,,0.8,,0.3,-0.1,,,
1947,Jack Stone,Kansas State,CHS,,,,,,,,,,,,,,,,,
1947,Gene Vance,Illinois,CHS,5,175,118,1445,109,403,0.315,,0.687,16.9,8.3,3,2.3,10.3,-0.008,,
1947,Andy Duncan,William & Mary,NYK,3,136,,746,30,101,0.408,,0.596,,5.5,2.1,0.7,6.8,,,
1947,Ray Evans,Kansas,NYK,,,,,,,,,,,,,,,,,
1947,Ed Golub,,NYK,,,,,,,,,,,,,,,,,
1947,Garland Head,Texas Tech,NYK,,,,,,,,,,,,,,,,,
1947,Ron Livingston,Saint Mary's,NYK,,,,,,,,,,,,,,,,,
1947,Dan Miller,Saint Louis,NYK,,,,,,,,,,,,,,,,,
1947,Wat Misaka,Utah,NYK,1,3,,7,,0,0.231,,0.333,,2.3,,0,0,,,
1947,Carl Reichert,Findlay (OH),NYK,,,,,,,,,,,,,,,,,
1947,Tom Tomlinson,SMU,NYK,,,,,,,,,,,,,,,,,
1947,Norman Butz,Saint Joseph's,PHW,,,,,,,,,,,,,,,,,
1947,Jim Kaeding,York College of Pennsylvania,PHW,,,,,,,,,,,,,,,,,
1947,Ed Koffenberger,Duke,PHW,,,,,,,,,,,,,,,,,
1947,Jim Pollard,Stanford,PHW,7,438,9391,5762,2487,1417,0.36,,0.75,35.4,13.2,7.8,3.2,34.9,0.093,,
1947,Bob Alamo,Santa Clara,PIT,,,,,,,,,,,,,,,,,
1947,George Brown,,PIT,,,,,,,,,,,,,,,,,
1947,Dick Ives,Iowa,PIT,,,,,,,,,,,,,,,,,
1947,Herman Knoche,Washington & Jefferson College,PIT,,,,,,,,,,,,,,,,,
1947,Fritz Nagy,University of Akron,PIT,1,50,,253,,68,0.347,,0.67,,5.1,,1.4,2.1,,,
1947,Jack Walton,DePaul,PIT,,,,,,,,,,,,,,,,,
1947,Joe Barry,,PRO,,,,,,,,,,,,,,,,,
1947,Dick Furey,University of St. Thomas,PRO,,,,,,,,,,,,,,,,,
1947,Bob Hubbard,Springfield College,PRO,2,62,,224,,29,0.249,,0.674,,3.6,,0.5,-0.9,,,
1947,Bob Joyce,Bates College,PRO,,,,,,,,,,,,,,,,,
1947,Roy Lipscomb,St. Mary's College of Maryland,PRO,,,,,,,,,,,,,,,,,
1947,John Mills,Hofstra,PRO,,,,,,,,,,,,,,,,,
1947,Al Nichols,Rhode Island,PRO,,,,,,,,,,,,,,,,,
1947,Jack Knopf,Louisville,STB,,,,,,,,,,,,,,,,,
1947,Bob Kurland,Oklahoma State,STB,,,,,,,,,,,,,,,,,
1947,Paul Napolitano,San Francisco,STB,1,1,,0,,0,,,,,0,,0,0,,,
1947,Jim Pollard,Stanford,STB,7,438,9391,5762,2487,1417,0.36,,0.75,35.4,13.2,7.8,3.2,34.9,0.093,,
1947,Bill Strannigan,Wyoming,STB,,,,,,,,,,,,,,,,,
1947,Herb Wilkinson,Iowa,STB,,,,,,,,,,,,,,,,,
1947,Frank Broyles,Georgia Tech,TRH,,,,,,,,,,,,,,,,,
1947,Paul Hoffman,Purdue,TRH,6,317,5130,3234,1129,911,0.34,,0.676,28.7,10.2,5.1,2.9,12.9,0.031,,
1947,Wimpy Quinn,Oregon,TRH,,,,,,,,,,,,,,,,,
1947,Red Rocha,Oregon State,TRH,9,586,10507,6362,2747,1153,0.37,,0.759,29.9,10.9,6.6,2,47.9,0.109,,
1947,Bill Burke,St. Mary's College of Maryland,WSC,,,,,,,,,,,,,,,,,
1947,Paul Cloyd,Wisconsin,WSC,1,7,,19,,2,0.269,,0.625,,2.7,,0.3,-0.1,,,
1947,John Mandic,Oregon State,WSC,2,81,,335,,88,0.316,,0.66,,4.1,,1.1,2.4,,,
1947,Saul Mariaschin,Harvard University,WSC,1,43,,333,,60,0.27,,0.709,,7.7,,1.4,1.1,,,
1947,Abel Rodriguez,San Francisco,WSC,,,,,,,,,,,,,,,,,
1947,Irv Rothenberg,Long Island University,WSC,3,131,,709,,90,0.267,,0.606,,5.4,,0.7,3.6,,,
1947,Jack Tingle,Kentucky,WSC,2,39,,91,,8,0.259,,0.515,,2.3,,0.2,0.4,,,
1947,Matt Zunic,George Washington,WSC,1,56,,273,,50,0.303,,0.706,,4.9,,0.9,2,,,
1948,Andy Tonkovich,Marshall,PRO,1,17,,44,,10,0.268,,0.667,,2.6,,0.6,-0.4,,,
1948,George Kok,Arkansas,INJ,,,,,,,,,,,,,,,,,
1948,George Hauptfuhrer,Harvard University,BOS,,,,,,,,,,,,,,,,,
1948,Dolph Schayes,NYU,NYK,15,996,29800,18438,11256,3072,0.38,,0.849,34.4,18.5,12.1,3.1,142.4,0.192,,
1948,Ed Mikan,DePaul,CHS,6,323,2779,2163,1093,296,0.32,,0.756,20.3,6.7,5.5,0.9,3.6,0,,
1948,Walt Budko,Columbia University,BLB,4,253,1126,2037,684,471,0.342,,0.757,17.9,8.1,5.4,1.9,13.7,0.065,,
1948,Robert Gale,Cornell,STB,,,,,,,,,,,,,,,,,
1948,Ward Williams,Indiana,FTW,1,53,,215,,82,0.237,,0.75,,4.1,,1.5,1.8,,,
1948,Chuck Hanger,California,MNL,,,,,,,,,,,,,,,,,
1948,Bobby Wanzer,Seton Hall,ROC,9,568,12128,6924,1979,1830,0.393,,0.802,32.5,12.2,4.5,3.2,63.9,0.156,,
1948,Don Ray,Western Kentucky,PHW,1,61,,364,,60,0.323,,0.698,,6,,1,1.3,,,
1948,Jack Nichols,Washington,WSC,9,505,10703,5269,2793,965,0.368,,0.752,26.9,10.4,6.9,1.9,24.8,0.061,,
1948,Jim Black,Occidental College,BLB,,,,,,,,,,,,,,,,,
1948,Darrell Brown,Humboldt State University,BLB,1,3,,4,,0,0.333,,0,,1.3,,0,0,,,
1948,Robert Carroll,West Virginia,BLB,,,,,,,,,,,,,,,,,
1948,Jake Carter,East Texas State University,BLB,1,24,,82,,24,0.307,,0.679,,3.4,,1,0.7,,,
1948,Marvin English,Newberry College,BLB,,,,,,,,,,,,,,,,,
1948,Gene Fellmoth,Wittenberg University,BLB,,,,,,,,,,,,,,,,,
1948,J.W. Fullerton,Arkansas State University,BLB,,,,,,,,,,,,,,,,,
1948,Marshall Gemberling,Lebanon Valley College,BLB,,,,,,,,,,,,,,,,,
1948,Vince Hansen,Washington State,BLB,,,,,,,,,,,,,,,,,
1948,Joe Holland,Kentucky,BLB,3,186,737,1084,510,327,0.331,,0.621,13.4,5.8,4.2,1.8,1.9,0.037,,
1948,Wayne Jones,American International College,BLB,,,,,,,,,,,,,,,,,
1948,Dan Kraus,Georgetown,BLB,1,13,,21,,7,0.143,,0.458,,1.6,,0.5,-0.3,,,
1948,Herb Krautblatt,Rider University,BLB,1,10,,13,,4,0.222,,0.455,,1.3,,0.4,-0.1,,,
1948,Paul Marcincin,Moravian College,BLB,,,,,,,,,,,,,,,,,
1948,Johnny Bach,Fordham,BOS,1,34,,119,,25,0.286,,0.68,,3.5,,0.7,0.8,,,
1948,Norman Carey,Oregon State,BOS,,,,,,,,,,,,,,,,,
1948,Bob Curran,Holy Cross,BOS,,,,,,,,,,,,,,,,,
1948,Neil Dooley,Colgate,BOS,,,,,,,,,,,,,,,,,
1948,Jack Hauser,Denver,BOS,,,,,,,,,,,,,,,,,
1948,Marshall Hawkins,Tennessee,BOS,1,39,,152,,51,0.282,,0.689,,3.9,,1.3,-0.1,,,
1948,Tom Kelly,NYU,BOS,1,27,,191,,38,0.335,,0.616,,7.1,,1.4,1.4,,,
1948,Murray Mitchell,Sam Houston State University,BOS,1,2,,2,,2,0.333,,,,1,,1,0,,,
1948,Guinn Phillips,Texas Wesleyan University,BOS,,,,,,,,,,,,,,,,,
1948,Ray Wehde,Iowa State,BOS,,,,,,,,,,,,,,,,,
1948,Hook Dillon,UNC,CHS,1,22,,36,,5,0.182,,0.727,,1.6,,0.2,-0.4,,,
1948,Whitey Kachan,DePaul,CHS,1,52,,112,,37,0.268,,0.643,,2.2,,0.7,0.7,,,
1948,Mickey Marty,Loras College,CHS,,,,,,,,,,,,,,,,,
